"14627","Q935",14627,"Isaac_Newton","Isaac Newton","PHYSICIST",0,"M",,FALSE,215,35,"Woolsthorpe Manor",52.80916667,-0.63055556,140503,"United Kingdom","1643-01-04",1643,"Kensington",51.5,-0.19,54732,"United Kingdom","1727-03-31",1726,,,FALSE,21.608920113212005,378,3431331,4.632474321807203,96.83656689384607
"736","Q937",736,"Albert_Einstein","Albert Einstein","PHYSICIST",0,"M",,FALSE,209,34,"Ulm",48.4,9.98333333,189455,"Germany","1879-03-14",1879,"Princeton, New Jersey",40.358244,-74.666728,84658,"United States","1955-04-18",1955,"Germany","United States",FALSE,15.687620155889384,141,7078600,5.328956444837248,94.79355039217691
"1844","Q8739",1844,"Archimedes","Archimedes","MATHEMATICIAN",0,"M",,FALSE,166,34,"Syracuse, Sicily",37.06916667,15.2875,28441,"Italy",,-287,"Syracuse, Sicily",37.06916667,15.2875,28441,"Italy","0212-01-01 BC",-212,"Syracuse",,FALSE,20.28776845069427,2307,1429987,4.014863210148576,93.92727499732311
"20408","Q7186",20408,"Marie_Curie","Marie Curie","PHYSICIST",0,"F",,FALSE,168,32,"Warsaw",52.23333333,21.01666667,32908,"Poland","1867-11-07",1867,"Passy, Haute-Savoie",45.9244,6.6872,15790492,"France","1934-07-04",1934,"Russia",,FALSE,11.292510424522959,153,4194076,5.497696081228628,90.85337302088593
"4068","Q1290",4068,"Blaise_Pascal","Blaise Pascal","MATHEMATICIAN",0,"M",,FALSE,127,32,"Clermont-Ferrand",45.7831,3.0824,83240,"France","1623-06-19",1623,"Paris",48.856613,2.352222,22989,"France","1662-08-19",1662,"France","France",FALSE,17.47742695507034,397,933201,3.5429634068712508,90.70058182156885
"19376148","Q17714",19376148,"Stephen_Hawking","Stephen Hawking","PHYSICIST",0,"M",,FALSE,135,32,"Oxford",51.75194444,-1.25777778,22308,"United Kingdom","1942-01-08",1942,"Cambridge",52.20527778,0.11916667,36995,"United Kingdom","2018-03-14",2018,"United Kingdom",,FALSE,11.715124489572904,78,5842163,4.729770334906814,89.32175465171915
"6125","Q6722",6125,"Carl_Friedrich_Gauss","Carl Friedrich Gauss","MATHEMATICIAN",0,"M",,FALSE,141,32,"Braunschweig",52.26666667,10.51666667,51032,"Germany","1777-04-30",1777,"Göttingen",51.53388889,9.93555556,23307013,"Germany","1855-02-23",1855,"Hanover",,FALSE,16.783003973513676,243,705655,3.9422595272729133,89.18306844360151
"12281","Q9047",12281,"Gottfried_Wilhelm_Leibniz","Gottfried Wilhelm Leibniz","MATHEMATICIAN",0,"M",,FALSE,141,31,"Leipzig",51.33333333,12.38333333,17955,"Germany","1646-07-01",1646,"Hanover",52.36666667,9.71666667,14197,"Germany","1716-11-14",1716,"Holy Roman Empire","Hanover",FALSE,13.268770393028552,374,728181,4.3827371279034315,88.60472394528495
"19727","Q8750",19727,"Michael_Faraday","Michael Faraday","PHYSICIST",0,"M",,FALSE,140,31,"Newington Butts",51.49277778,-0.10111111,4071266,"United Kingdom","1791-09-22",1791,"Hampton Court Palace",51.40333333,-0.3375,52947,"United Kingdom","1867-08-25",1867,,,FALSE,14.706197727204712,229,748722,4.459127448350503,88.22844146987934
"61325","Q35149",61325,"Wilhelm_Röntgen","Wilhelm Röntgen","PHYSICIST",0,"M",,FALSE,125,31,"Remscheid",51.18333333,7.2,180693,"Germany","1845-03-27",1845,"Munich",48.13333333,11.56666667,19058,"Germany","1923-02-10",1923,,"Germany",FALSE,20.17286344178455,175,410289,3.328192397088032,87.98681269963012
"17902","Q7604",17902,"Leonhard_Euler","Leonhard Euler","MATHEMATICIAN",0,"M",,FALSE,145,31,"Basel",47.55472222,7.59055556,4911,"Switzerland","1707-04-15",1707,"Saint Petersburg",59.9375,30.30861111,24320051,"Russia","1783-09-18",1783,"Switzerland","Russia",FALSE,13.876393235808337,313,575937,4.618872161677879,87.93566199768965
"92550","Q35900",92550,"Omar_Khayyam","Omar Khayyam","MATHEMATICIAN",0,"M",,FALSE,111,31,"Nishapur",36.21333333,58.79583333,377427,"Iran","1048-05-18",1048,"Nishapur",36.21333333,58.79583333,377427,"Iran","1131-12-04",1131,,,FALSE,12.321203755828806,972,604568,3.7493885673212004,87.49654099852393
"649861","Q9038",649861,"Muhammad_ibn_Musa_al-Khwarizmi","Muhammad ibn Musa al-Khwarizmi","MATHEMATICIAN",0,"M",,FALSE,132,31,"Khwarazm",42.18960833,59.32617222,317992,"Turkmenistan",,780,"Baghdad",33.33333333,44.38333333,4492,"Iraq",,850,,,FALSE,15.826811420141727,110,691313,3.570044262535407,87.34336151763647
"9331","Q8747",9331,"Euclid","Euclid","MATHEMATICIAN",0,"M",,FALSE,146,31,"Alexandria",31.2,29.91666667,12984,"Egypt",,-350,,,,,,,-240,,,FALSE,15.871061287846315,110,611799,4.403364543302591,87.03410175531424
"19848","Q9021",19848,"Max_Planck","Max Planck","PHYSICIST",0,"M",,FALSE,134,31,"Kiel",54.32333333,10.13944444,59673,"Germany","1858-04-23",1858,"Göttingen",51.53388889,9.93555556,23307013,"Germany","1947-10-04",1947,"Denmark",,FALSE,15.143556815324835,162,476696,4.100454863303573,86.62669991611072
"1923","Q680",1923,"Alessandro_Volta","Alessandro Volta","PHYSICIST",0,"M",,FALSE,99,30,"Como",45.81666667,9.08333333,60679,"Italy","1745-02-18",1745,"Como",45.81666667,9.08333333,60679,"Italy","1827-03-05",1827,,,FALSE,15.238855304867352,275,403725,3.319734257895267,86.21503677984852
"21210","Q7085",21210,"Niels_Bohr","Niels Bohr","PHYSICIST",0,"M",,FALSE,127,30,"Copenhagen",55.67611111,12.56833333,5166,"Denmark","1885-10-07",1885,"Copenhagen",55.67611111,12.56833333,5166,"Denmark",,1962,"Denmark",,FALSE,13.898472390513188,135,566881,4.237996740359456,85.95721517170983
"38375","Q11903",38375,"Hypatia","Hypatia","MATHEMATICIAN",0,"F",,FALSE,83,30,"Alexandria",31.2,29.91666667,3080,"Egypt",,350,"Alexandria",31.2,29.91666667,3080,"Egypt",,415,"Rome",,FALSE,10.22889520980117,1660,684321,3.678442689172253,85.48768804855949
"81859","Q8962",81859,"James_Prescott_Joule","James Prescott Joule","PHYSICIST",0,"M",,FALSE,112,30,"Salford",53.483,-2.2931,182231,"United Kingdom","1818-12-24",1818,"Sale, Greater Manchester",53.424,-2.322,367154,"United Kingdom","1889-10-11",1889,,,FALSE,17.039334342675865,202,209059,3.5394543510411274,85.03874726965759
"1363","Q675",1363,"André-Marie_Ampère","André-Marie Ampère","PHYSICIST",0,"M",,FALSE,99,30,"Lyon",45.76,4.84,8638634,"France","1775-01-20",1775,"Marseille",43.2964,5.37,40888948,"France","1836-06-10",1836,"France","France",FALSE,16.49467872583433,245,217808,3.171454058450982,84.98487313372966
"4163","Q33760",4163,"Bertrand_Russell","Bertrand Russell","MATHEMATICIAN",0,"M",,FALSE,117,30,"Trellech",51.74506,-2.7256,325703,"United Kingdom","1872-05-18",1872,"Penrhyndeudraeth",52.929,-4.066,2486515,"United Kingdom","1970-02-02",1970,,,FALSE,10.857228754944959,148,753901,4.776857784709241,84.9009990432891
