dt,Italy,Spain,Germany,France,Switzerland,Slovenia,Belgium,United Kingdom,Ireland,Netherlands,Croatia,Serbia,Portugal,Austria,Greece,id
1900-01-01,5.402,5.932,0.364,7.235,-0.7199999999999998,1.254,2.8680000000000003,4.296,5.307,3.1590000000000003,2.869,0.6369999999999998,7.849,-2.2780000000000005,7.457000000000001,0
1900-02-01,7.366999999999999,8.931000000000001,1.119,8.461,1.096,4.259,3.017,2.363,2.8510000000000004,2.8680000000000003,6.033,4.534,10.254,0.2739999999999999,9.525,1
1900-03-01,5.893000000000002,7.2109999999999985,0.8729999999999998,7.3450000000000015,-0.5599999999999996,2.635,3.0809999999999995,3.6010000000000004,4.445,3.167,4.2360000000000015,2.495,9.207,-1.3569999999999998,8.149,2
1900-04-01,9.725,12.158,6.551,11.483,5.335,7.903,8.155999999999999,7.374,8.668000000000001,7.569000000000001,9.75,9.162,14.233,4.561,12.282,3
1900-05-01,14.543,14.436,10.953,14.169,9.587000000000002,13.204,11.693,9.268,10.21,11.232,14.932,14.267,15.15,9.62,16.774,4
1900-06-01,19.221,19.797,16.155,17.995,14.771,17.919999999999995,16.486,12.941,13.574000000000002,15.879,19.553,18.358,19.209,14.664,21.156,5
1900-07-01,21.789,23.205,18.703,20.594,17.327,20.675,19.542,15.249,15.758,18.738000000000003,22.203000000000003,20.911,22.846,17.186,24.0,6
1900-08-01,20.525,21.727,16.678,18.516,14.657,18.157,16.648,13.464,14.288,16.613999999999994,20.006,19.381,21.078000000000003,14.837,23.508000000000003,7
1900-09-01,19.121,19.757,14.175,17.846,13.835,16.282,15.013,12.327,13.085,14.826,17.543,15.755999999999998,20.329,13.088,19.534,8
1900-10-01,15.428999999999998,14.734000000000002,8.74,13.716,8.095,11.014,10.039,8.597999999999999,9.592,10.371,12.925999999999998,12.073,15.968,7.239000000000001,17.944000000000003,9
1900-11-01,10.467,8.869000000000002,4.678999999999999,9.97,3.2710000000000004,7.013,6.2200000000000015,6.574,6.912000000000001,6.79,8.929,7.372000000000001,10.956,3.222,13.109000000000002,10
1900-12-01,6.494,6.796,2.435,8.517999999999999,0.968,1.374,4.685,6.550000000000002,7.236000000000001,5.518000000000002,2.943,1.211,9.462,-1.013,7.853,11
1901-01-01,2.92,5.718999999999999,-3.991,5.966,-3.269,-3.693,0.0359999999999998,3.695,4.981000000000001,0.0059999999999997,-2.45,-5.428999999999999,8.062000000000001,-6.996,3.242,12
1901-02-01,1.808,4.0600000000000005,-4.162,4.069,-5.877999999999999,-3.335,-1.6020000000000003,2.6460000000000004,3.662,-0.778,-1.0860000000000003,-1.5739999999999998,6.818,-7.045,7.115,13
1901-03-01,7.44,8.112,2.305,8.107000000000001,0.9330000000000004,4.385999999999999,3.788,4.143,5.055,3.926,6.691,6.714,10.014,0.8340000000000002,11.623,14
1901-04-01,11.245,12.416,7.989000000000001,12.484000000000002,6.638999999999999,9.376,9.368,7.495,7.947000000000001,8.926,10.988,10.098,13.807,6.207999999999999,13.483,15
1901-05-01,14.196,14.988,12.817,15.026,10.865,13.918,13.047,10.398,11.152,12.539,15.475,14.615,16.468999999999998,11.091,16.736,16
1901-06-01,19.693,21.098000000000003,15.729,18.435,14.955,18.287,16.076,12.229,12.734000000000002,15.158,19.842,18.735000000000007,21.007,14.861,21.137,17
1901-07-01,21.572,23.134,18.625,20.141,16.281000000000002,19.886,19.145,15.787,16.034000000000002,18.801,21.717,20.57,22.915,16.413,24.24,18
1901-08-01,21.181,22.851,16.822,19.145,15.235,18.549000000000003,17.384999999999998,14.125,14.537,17.244999999999994,20.232,19.026,22.82,14.927,23.321,19
1901-09-01,18.488,18.714,13.643,16.987000000000002,12.643,14.89,14.713,12.649,13.201,14.839,16.666999999999998,15.894999999999998,18.605,11.805,20.756,20
1901-10-01,13.889,13.019,9.104,12.818,7.2010000000000005,10.72,10.033,8.658000000000001,9.283,10.75,12.467,11.133,14.36,7.351,16.53,21
1901-11-01,7.864,8.177999999999999,2.64,8.161999999999999,0.8500000000000001,3.1060000000000003,4.248,5.296,6.5360000000000005,5.505,4.821000000000001,3.155,10.292,-0.3169999999999999,10.305,22
1901-12-01,6.171,4.76,0.652,6.601000000000001,-0.924,2.393,2.358,3.4290000000000003,4.308,3.1260000000000003,4.6530000000000005,3.633,7.046999999999999,-1.2539999999999998,9.465,23
1902-01-01,5.0680000000000005,5.686,2.344,7.035,-0.4839999999999998,1.874,3.653,4.466,5.382999999999999,4.668,3.437,1.2949999999999997,8.351,-0.7980000000000005,6.9140000000000015,24
1902-02-01,6.462000000000001,7.31,-1.2000000000000002,6.737,-0.955,2.16,0.7419999999999998,2.074,3.5780000000000003,0.5250000000000004,4.509,3.685,9.471,-2.023,9.636,25
